col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,class
1.0,1,bin3,bin3,bin1,1.0,missing,missing,2.0,missing,3.0,3.0,missing,missing,missing,1.0,missing,missing,missing,missing,missing,1.0,bin1,bin0,0,1,1
1.0,9,bin2,bin4,bin4,1.0,3.0,bin0,1.0,2.0,3.0,4.0,missing,missing,missing,missing,missing,bin2,bin2,1.0,missing,1.0,bin4,bin0,0,1,1
2.0,1,missing,bin4,missing,3.0,3.0,bin1,2.0,5.0,4.0,4.0,missing,1.0,missing,4.0,5.0,bin4,missing,missing,missing,2.0,bin4,bin0,0,2,1
1.0,1,bin0,bin2,bin3,3.0,missing,bin1,1.0,4.0,2.0,4.0,2.0,2.0,bin3,1.0,5.0,bin2,bin2,1.0,missing,1.0,bin3,bin0,0,2,1
1.0,1,bin2,bin3,bin1,3.0,3.0,bin2,1.0,5.0,4.0,3.0,2.0,1.0,missing,3.0,4.0,bin1,bin0,missing,missing,2.0,bin2,bin0,0,2,1
1.0,1,bin1,bin4,bin4,2.0,3.0,bin2,1.0,4.0,3.0,3.0,2.0,missing,missing,3.0,4.0,missing,missing,3.0,missing,1.0,bin1,bin0,0,2,1
2.0,1,bin2,bin0,missing,2.0,missing,bin0,2.0,3.0,3.0,1.0,2.0,1.0,missing,missing,2.0,bin0,bin1,missing,missing,1.0,bin2,bin0,0,2,2
1.0,1,bin4,bin4,bin4,4.0,4.0,bin4,1.0,2.0,4.0,1.0,1.0,3.0,bin0,missing,4.0,bin4,bin3,3.0,bin1,3.0,bin1,bin0,0,2,1
2.0,1,bin0,bin0,bin1,3.0,3.0,bin0,1.0,1.0,4.0,1.0,1.0,1.0,missing,missing,5.0,bin3,bin2,missing,missing,2.0,bin4,bin0,0,2,1
1.0,9,bin4,bin4,bin3,3.0,1.0,bin0,1.0,2.0,3.0,4.0,1.0,1.0,missing,4.0,4.0,bin3,bin2,3.0,missing,2.0,bin1,bin0,0,1,1
2.0,1,missing,bin4,bin1,3.0,3.0,bin2,2.0,5.0,4.0,2.0,missing,missing,missing,4.0,missing,bin1,bin0,3.0,bin2,1.0,bin0,bin0,0,1,2
1.0,1,missing,bin3,missing,3.0,3.0,bin1,1.0,4.0,4.0,4.0,missing,missing,missing,4.0,5.0,bin2,bin4,missing,missing,1.0,bin2,bin0,0,2,1
1.0,9,bin4,bin4,bin4,1.0,missing,bin0,1.0,4.0,1.0,3.0,missing,missing,missing,2.0,missing,bin0,bin0,missing,missing,2.0,bin4,bin0,0,2,1
1.0,1,bin0,bin2,missing,2.0,1.0,bin0,1.0,2.0,1.0,1.0,1.0,1.0,missing,1.0,missing,bin0,bin4,2.0,bin1,3.0,bin4,bin0,0,2,1
1.0,1,bin4,bin4,bin2,3.0,3.0,bin2,1.0,missing,4.0,missing,missing,3.0,bin4,missing,missing,bin4,bin3,missing,missing,2.0,bin1,bin0,0,1,1
2.0,1,bin0,bin1,bin0,1.0,1.0,bin0,1.0,2.0,3.0,2.0,2.0,1.0,missing,3.0,5.0,bin0,bin3,1.0,bin0,1.0,bin0,bin0,0,2,2
1.0,1,bin4,bin2,bin4,3.0,3.0,bin0,1.0,2.0,3.0,1.0,2.0,1.0,missing,missing,missing,bin3,bin2,3.0,missing,2.0,bin4,bin0,0,1,1
2.0,1,bin1,bin0,bin2,missing,1.0,bin0,1.0,4.0,3.0,2.0,1.0,1.0,missing,4.0,missing,bin0,bin4,missing,missing,1.0,bin0,bin0,0,2,2
2.0,1,bin3,bin0,bin0,2.0,1.0,bin0,1.0,1.0,missing,2.0,2.0,1.0,missing,missing,2.0,bin1,bin1,missing,missing,1.0,bin2,bin0,0,1,2
2.0,9,bin3,bin3,bin2,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,bin0,bin0,missing,missing,1.0,bin0,bin0,0,2,2
1.0,1,bin0,bin3,bin3,missing,missing,bin1,2.0,4.0,4.0,2.0,2.0,3.0,bin1,4.0,4.0,bin3,bin2,3.0,bin3,2.0,bin4,bin0,0,1,1
1.0,1,bin2,bin0,bin1,3.0,1.0,bin0,1.0,3.0,3.0,3.0,2.0,1.0,missing,1.0,5.0,bin2,bin1,2.0,bin4,1.0,bin2,bin0,0,1,1
2.0,1,missing,bin1,bin4,3.0,1.0,bin0,1.0,3.0,3.0,1.0,2.0,1.0,missing,1.0,missing,bin1,bin0,missing,missing,3.0,bin4,bin0,0,2,1
2.0,1,bin3,bin2,bin1,2.0,1.0,bin1,1.0,3.0,3.0,2.0,1.0,1.0,missing,1.0,5.0,bin1,bin1,1.0,missing,1.0,bin4,bin0,0,1,2
2.0,1,bin2,bin1,bin1,3.0,1.0,bin0,1.0,2.0,3.0,2.0,missing,3.0,bin2,missing,4.0,bin2,bin2,3.0,missing,1.0,bin1,bin0,0,1,2
1.0,1,bin2,bin0,bin1,missing,missing,bin0,1.0,missing,3.0,missing,missing,missing,missing,3.0,missing,bin2,bin3,missing,missing,1.0,bin0,bin0,0,2,2
1.0,1,bin4,bin2,bin4,2.0,3.0,bin0,1.0,missing,3.0,1.0,1.0,2.0,bin3,1.0,5.0,bin1,bin1,missing,missing,1.0,bin4,bin0,0,2,1
1.0,1,bin0,bin2,bin4,3.0,3.0,bin0,1.0,3.0,3.0,2.0,2.0,2.0,bin1,3.0,4.0,bin0,bin1,missing,missing,2.0,bin2,bin0,0,2,1
1.0,1,bin1,bin3,missing,3.0,3.0,bin4,1.0,5.0,4.0,1.0,2.0,3.0,missing,3.0,1.0,bin3,bin3,3.0,bin1,1.0,bin4,bin0,0,2,1
1.0,1,missing,bin4,bin2,3.0,3.0,bin2,2.0,5.0,4.0,4.0,3.0,3.0,missing,4.0,4.0,bin3,bin1,missing,missing,1.0,bin1,bin0,0,2,1
1.0,1,bin1,bin4,bin2,3.0,3.0,bin1,1.0,5.0,3.0,3.0,1.0,1.0,missing,missing,missing,bin4,bin1,3.0,missing,2.0,bin3,bin0,0,1,1
1.0,1,missing,bin3,missing,missing,3.0,missing,missing,missing,4.0,4.0,missing,missing,missing,missing,5.0,missing,missing,missing,missing,3.0,bin4,bin0,0,2,1
1.0,9,bin4,bin4,bin4,1.0,3.0,bin4,2.0,5.0,3.0,2.0,1.0,1.0,missing,missing,missing,bin3,bin0,missing,missing,2.0,bin4,bin0,0,2,1
1.0,1,bin1,bin0,bin0,3.0,1.0,bin0,1.0,4.0,2.0,2.0,3.0,3.0,bin0,3.0,missing,bin0,bin4,2.0,bin0,3.0,bin2,bin0,0,2,2
2.0,1,bin0,bin1,bin3,2.0,3.0,bin1,1.0,1.0,3.0,2.0,3.0,1.0,bin3,missing,missing,bin1,bin1,missing,missing,1.0,bin2,bin0,0,2,2
2.0,1,bin1,bin0,bin0,1.0,1.0,bin0,1.0,1.0,1.0,1.0,missing,missing,missing,1.0,1.0,bin0,bin1,missing,missing,1.0,bin0,bin0,0,2,2
2.0,1,bin2,bin1,bin3,4.0,3.0,bin0,1.0,2.0,4.0,3.0,2.0,2.0,bin4,missing,missing,bin2,bin2,1.0,bin2,1.0,bin4,bin0,0,1,2
1.0,1,bin3,bin0,bin0,missing,missing,bin0,missing,1.0,1.0,missing,missing,missing,missing,missing,missing,bin0,bin4,missing,missing,1.0,bin0,bin0,0,2,2
2.0,1,bin4,bin3,missing,3.0,3.0,bin3,1.0,2.0,3.0,1.0,1.0,1.0,missing,4.0,1.0,bin4,bin1,missing,missing,2.0,bin4,bin0,0,1,1
1.0,1,missing,bin2,bin0,3.0,4.0,bin3,2.0,2.0,3.0,2.0,2.0,1.0,missing,4.0,5.0,bin4,bin2,missing,missing,2.0,bin1,bin0,0,2,1
1.0,1,bin2,bin2,bin1,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,bin0,bin1,missing,missing,1.0,bin3,bin0,0,2,1
2.0,1,bin3,bin1,missing,1.0,1.0,bin0,1.0,3.0,1.0,1.0,2.0,1.0,missing,1.0,missing,bin1,bin1,2.0,bin4,1.0,bin0,bin0,0,1,2
1.0,1,bin3,bin2,bin1,1.0,1.0,bin0,1.0,3.0,3.0,1.0,2.0,1.0,missing,4.0,5.0,bin1,bin1,1.0,missing,1.0,bin4,bin0,0,1,1
2.0,1,bin1,bin3,bin0,3.0,1.0,bin0,2.0,4.0,missing,3.0,1.0,3.0,missing,missing,missing,bin3,bin1,missing,missing,3.0,bin1,bin0,0,2,1
2.0,9,bin4,bin3,bin2,missing,missing,missing,1.0,missing,missing,missing,missing,missing,missing,missing,missing,bin0,bin0,missing,missing,1.0,bin0,bin0,0,2,2
1.0,1,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,1.0,bin1,bin0,0,2,1
1.0,1,bin1,bin1,bin3,missing,1.0,bin0,1.0,3.0,2.0,2.0,missing,missing,missing,3.0,missing,bin1,bin1,1.0,bin4,1.0,bin4,bin0,0,1,1
2.0,1,bin3,bin0,bin0,2.0,1.0,bin0,1.0,1.0,1.0,missing,missing,missing,missing,1.0,1.0,bin2,bin3,missing,missing,1.0,bin0,bin0,0,2,2
1.0,1,bin4,bin3,bin4,3.0,3.0,bin1,1.0,2.0,3.0,3.0,2.0,2.0,bin3,3.0,1.0,bin3,bin1,3.0,missing,2.0,bin4,bin0,0,2,1
1.0,1,bin0,bin2,bin1,1.0,3.0,bin0,1.0,4.0,3.0,3.0,1.0,missing,missing,1.0,5.0,bin0,bin1,2.0,missing,2.0,bin4,bin0,0,2,1
1.0,1,missing,bin3,bin1,3.0,3.0,bin1,1.0,missing,3.0,missing,2.0,1.0,missing,missing,4.0,bin2,bin3,missing,bin1,3.0,bin2,bin0,0,2,2
2.0,1,bin3,bin0,bin0,1.0,1.0,bin0,1.0,2.0,1.0,1.0,missing,missing,missing,3.0,2.0,bin0,bin4,missing,missing,1.0,bin0,bin0,0,2,2
1.0,1,missing,bin4,bin4,4.0,missing,bin2,2.0,2.0,4.0,missing,missing,missing,missing,missing,5.0,bin4,bin4,missing,missing,3.0,bin3,bin0,0,2,2
2.0,1,bin0,bin2,bin1,3.0,2.0,bin2,2.0,4.0,3.0,3.0,3.0,1.0,missing,4.0,4.0,bin2,missing,3.0,bin3,3.0,bin1,bin0,0,1,1
1.0,1,bin0,bin2,bin2,4.0,3.0,bin2,1.0,4.0,4.0,3.0,2.0,1.0,missing,3.0,5.0,bin4,bin1,missing,missing,2.0,bin3,bin0,0,2,1
1.0,1,bin0,bin4,bin1,3.0,3.0,bin1,1.0,3.0,3.0,3.0,3.0,1.0,missing,4.0,4.0,bin3,bin0,3.0,bin3,1.0,bin1,bin0,0,1,1
1.0,1,bin0,bin0,bin1,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,4.0,1.0,bin0,bin3,1.0,bin0,3.0,bin4,bin0,0,2,2
2.0,1,bin3,bin1,bin1,missing,1.0,bin0,2.0,3.0,4.0,1.0,2.0,2.0,bin3,missing,2.0,bin1,bin0,missing,missing,1.0,bin2,bin0,0,1,2
2.0,1,bin0,bin0,bin3,missing,missing,bin0,1.0,missing,3.0,missing,missing,missing,missing,missing,missing,bin2,bin0,1.0,bin4,1.0,bin2,bin0,0,1,2
1.0,1,bin1,bin0,bin2,missing,4.0,bin1,2.0,5.0,4.0,4.0,1.0,1.0,missing,3.0,5.0,bin2,bin4,3.0,bin1,1.0,bin3,bin0,0,2,1
1.0,1,bin0,bin1,bin1,3.0,1.0,bin2,2.0,4.0,4.0,3.0,1.0,1.0,missing,missing,missing,bin0,bin3,3.0,bin1,3.0,bin1,bin1,0,2,2
2.0,1,bin1,bin0,bin0,3.0,missing,bin1,1.0,1.0,missing,1.0,missing,missing,missing,missing,2.0,bin0,bin0,missing,missing,1.0,bin2,bin0,0,2,2
1.0,1,missing,bin2,bin3,3.0,missing,bin0,1.0,missing,4.0,missing,3.0,2.0,missing,missing,5.0,bin1,bin4,missing,missing,1.0,bin2,bin0,0,2,1
2.0,1,bin3,bin3,bin4,3.0,2.0,bin0,1.0,3.0,2.0,1.0,2.0,2.0,missing,1.0,1.0,bin3,bin1,missing,missing,1.0,bin0,bin0,0,2,2
2.0,1,bin1,bin0,bin0,2.0,1.0,bin0,1.0,3.0,missing,1.0,2.0,missing,missing,2.0,missing,bin3,bin2,1.0,missing,1.0,bin0,bin0,0,1,2
missing,1,bin1,bin2,bin3,missing,1.0,bin2,2.0,2.0,missing,missing,missing,missing,missing,missing,5.0,missing,missing,missing,missing,missing,bin2,bin2,0,2,1
2.0,1,bin1,bin0,bin3,3.0,3.0,bin1,2.0,2.0,3.0,1.0,2.0,1.0,missing,3.0,missing,bin0,bin0,3.0,missing,1.0,bin1,bin0,0,1,1
2.0,1,bin4,bin3,bin0,3.0,1.0,bin3,1.0,2.0,4.0,2.0,1.0,2.0,bin3,missing,4.0,bin4,bin0,2.0,bin2,2.0,bin1,bin0,0,1,1
2.0,1,bin2,bin2,bin1,3.0,1.0,bin1,2.0,3.0,3.0,2.0,3.0,3.0,missing,4.0,4.0,bin3,bin2,2.0,bin0,1.0,bin1,bin0,0,1,2
1.0,1,missing,bin4,missing,missing,missing,bin2,2.0,5.0,4.0,4.0,1.0,1.0,missing,missing,5.0,bin0,bin4,missing,missing,2.0,bin4,bin0,0,2,2
1.0,1,bin1,bin4,bin4,3.0,3.0,bin1,1.0,5.0,4.0,4.0,2.0,2.0,bin4,4.0,5.0,bin3,bin1,3.0,bin1,2.0,bin3,bin0,0,1,1
2.0,1,bin1,bin2,bin3,1.0,1.0,bin1,1.0,3.0,missing,2.0,2.0,1.0,missing,3.0,5.0,bin1,bin1,2.0,bin1,1.0,bin3,bin0,0,1,2
2.0,9,bin1,bin3,bin2,1.0,1.0,bin0,1.0,1.0,3.0,2.0,3.0,missing,bin4,missing,missing,bin0,bin0,1.0,bin0,1.0,bin0,bin0,0,1,2
1.0,1,bin2,bin2,bin2,2.0,3.0,bin0,1.0,2.0,4.0,3.0,3.0,2.0,bin4,4.0,5.0,bin0,bin0,missing,missing,1.0,bin4,bin0,0,2,1
2.0,1,bin0,bin0,bin1,3.0,1.0,bin0,1.0,2.0,1.0,missing,1.0,1.0,missing,3.0,2.0,bin2,bin0,1.0,bin2,1.0,bin4,bin0,0,1,2
1.0,1,bin0,bin3,bin1,2.0,3.0,bin1,1.0,4.0,3.0,3.0,missing,missing,missing,missing,missing,bin0,bin1,1.0,missing,2.0,bin1,bin0,0,2,1
2.0,9,missing,bin4,bin4,4.0,4.0,bin2,2.0,5.0,4.0,4.0,missing,missing,missing,missing,missing,missing,missing,missing,missing,2.0,bin1,bin0,0,2,1
1.0,1,bin4,bin4,bin2,missing,missing,bin4,2.0,4.0,4.0,3.0,1.0,missing,missing,4.0,5.0,bin4,bin4,missing,missing,3.0,bin3,bin0,0,2,1
1.0,1,bin2,bin3,missing,3.0,3.0,bin2,2.0,5.0,4.0,3.0,2.0,1.0,missing,4.0,4.0,bin2,bin2,2.0,bin4,1.0,bin3,bin0,0,1,1
2.0,1,bin0,bin0,bin3,3.0,1.0,bin1,1.0,3.0,2.0,3.0,2.0,1.0,missing,missing,5.0,bin0,bin1,1.0,bin0,1.0,bin3,bin0,0,1,1
1.0,1,bin3,bin3,bin2,3.0,1.0,bin3,2.0,4.0,3.0,3.0,2.0,3.0,bin3,4.0,4.0,bin2,bin2,3.0,missing,2.0,bin4,bin0,0,2,1
1.0,1,bin2,bin3,bin4,4.0,missing,bin2,2.0,5.0,3.0,1.0,1.0,3.0,bin1,missing,4.0,bin4,bin1,missing,bin4,2.0,bin2,bin0,0,1,1
2.0,1,bin4,bin1,missing,1.0,1.0,bin0,1.0,1.0,3.0,1.0,missing,missing,missing,1.0,3.0,bin0,bin4,missing,missing,1.0,bin0,bin0,0,2,2
2.0,1,bin2,bin0,bin3,2.0,1.0,bin1,1.0,3.0,3.0,1.0,missing,missing,missing,1.0,3.0,bin0,bin1,missing,missing,1.0,bin0,bin0,0,2,2
2.0,1,bin3,bin1,bin1,2.0,1.0,bin1,1.0,1.0,3.0,2.0,2.0,1.0,missing,3.0,5.0,bin1,bin3,1.0,bin0,1.0,bin0,bin0,0,2,2
1.0,1,bin2,bin2,missing,1.0,missing,bin1,1.0,2.0,1.0,1.0,1.0,1.0,missing,4.0,4.0,bin2,bin0,2.0,bin3,1.0,bin1,bin0,0,1,1
2.0,1,bin1,bin0,bin1,1.0,1.0,bin0,missing,3.0,2.0,1.0,1.0,1.0,missing,3.0,3.0,bin0,bin0,missing,missing,1.0,bin0,bin0,0,2,2
1.0,1,bin4,bin2,bin0,missing,1.0,bin0,missing,2.0,3.0,missing,missing,missing,missing,4.0,4.0,missing,missing,missing,missing,1.0,bin1,bin0,0,2,1
2.0,1,bin1,bin0,bin0,1.0,1.0,bin0,1.0,missing,1.0,1.0,2.0,1.0,missing,4.0,3.0,bin2,bin2,missing,missing,1.0,bin0,bin0,0,2,2
1.0,1,bin4,bin4,missing,4.0,3.0,bin3,2.0,2.0,4.0,3.0,2.0,3.0,bin4,missing,missing,bin4,bin3,3.0,bin4,1.0,bin4,bin0,0,2,2
1.0,1,bin2,bin3,missing,2.0,3.0,bin0,1.0,5.0,3.0,3.0,1.0,2.0,bin3,1.0,5.0,bin0,bin1,2.0,bin0,1.0,bin3,bin0,0,1,1
2.0,1,bin2,bin3,missing,missing,missing,bin4,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,2.0,bin2,bin0,0,2,2
1.0,1,bin1,bin3,bin2,3.0,3.0,bin1,1.0,missing,missing,missing,missing,missing,bin3,missing,missing,bin3,bin3,missing,bin3,1.0,bin1,bin0,0,2,1
1.0,1,missing,missing,missing,3.0,1.0,bin0,1.0,2.0,3.0,3.0,1.0,3.0,bin3,4.0,4.0,missing,missing,2.0,missing,2.0,bin1,bin0,0,1,1
1.0,1,bin0,bin0,missing,1.0,1.0,bin0,1.0,1.0,1.0,1.0,missing,missing,missing,1.0,1.0,missing,missing,2.0,bin2,1.0,bin4,bin0,0,1,1
2.0,1,bin0,bin0,missing,1.0,1.0,bin0,1.0,3.0,3.0,2.0,missing,missing,missing,missing,missing,bin2,bin0,2.0,bin0,1.0,bin2,bin0,0,1,2
2.0,1,bin2,bin0,bin0,1.0,1.0,bin1,1.0,1.0,3.0,1.0,missing,missing,missing,1.0,missing,bin0,bin3,1.0,bin0,1.0,bin0,bin0,0,2,2
2.0,1,bin1,bin1,bin4,3.0,3.0,bin1,missing,missing,1.0,1.0,2.0,1.0,missing,4.0,missing,bin2,bin4,2.0,bin0,1.0,bin0,bin0,0,2,2
2.0,1,bin2,bin0,bin1,3.0,3.0,bin0,2.0,2.0,4.0,1.0,2.0,missing,missing,4.0,missing,missing,missing,missing,missing,1.0,bin0,bin0,0,2,2
1.0,1,missing,bin0,bin4,1.0,1.0,bin1,1.0,missing,4.0,1.0,2.0,1.0,missing,1.0,4.0,bin1,bin2,1.0,missing,1.0,bin1,bin0,0,2,1
1.0,1,bin1,bin1,bin2,2.0,1.0,bin0,1.0,2.0,3.0,3.0,missing,3.0,bin1,4.0,5.0,missing,missing,missing,missing,1.0,bin3,bin0,0,2,1
2.0,1,bin0,bin4,bin1,4.0,3.0,bin4,2.0,2.0,4.0,3.0,1.0,1.0,missing,4.0,5.0,bin4,bin0,2.0,bin2,3.0,bin3,bin0,0,1,1
1.0,1,bin0,bin2,bin1,2.0,missing,bin2,1.0,3.0,missing,3.0,missing,2.0,bin1,3.0,4.0,bin4,bin3,2.0,missing,1.0,bin4,bin0,0,1,1
2.0,1,bin0,bin4,bin3,3.0,missing,bin1,2.0,2.0,2.0,1.0,missing,missing,missing,missing,3.0,bin0,missing,3.0,bin4,1.0,bin0,bin0,0,2,2
1.0,1,bin2,bin2,bin2,3.0,3.0,bin1,1.0,4.0,4.0,3.0,2.0,1.0,missing,3.0,5.0,bin0,bin3,3.0,bin0,1.0,bin4,bin0,0,2,1
1.0,1,bin0,bin0,bin0,3.0,1.0,bin0,2.0,1.0,1.0,1.0,missing,missing,missing,4.0,2.0,bin1,bin1,3.0,bin4,1.0,bin1,bin0,0,2,1
1.0,1,bin3,bin0,bin1,3.0,1.0,bin0,1.0,4.0,3.0,1.0,missing,missing,missing,3.0,missing,bin0,bin4,missing,missing,1.0,bin2,bin0,0,2,1
1.0,1,missing,bin3,bin4,3.0,1.0,bin2,1.0,2.0,3.0,3.0,missing,3.0,missing,4.0,4.0,bin3,bin4,3.0,bin1,3.0,bin2,bin2,0,2,1
1.0,9,bin2,bin3,bin4,4.0,4.0,bin4,missing,3.0,3.0,3.0,missing,missing,missing,1.0,missing,bin4,bin0,3.0,bin3,2.0,bin1,bin0,0,1,1
2.0,1,bin1,bin2,bin0,1.0,1.0,bin1,1.0,2.0,3.0,2.0,1.0,2.0,missing,3.0,missing,bin1,bin4,missing,missing,3.0,bin3,bin0,0,2,2
1.0,1,bin4,bin0,bin2,2.0,missing,bin1,1.0,2.0,3.0,missing,missing,missing,missing,missing,missing,bin0,bin4,missing,bin1,3.0,bin4,bin0,0,2,1
1.0,1,missing,bin0,bin0,1.0,1.0,bin0,1.0,1.0,2.0,1.0,1.0,1.0,missing,1.0,5.0,bin2,missing,missing,missing,1.0,bin4,bin0,0,1,1
2.0,1,bin2,bin0,bin4,missing,missing,bin0,1.0,missing,missing,missing,missing,missing,missing,missing,missing,bin0,bin3,missing,missing,1.0,bin0,bin0,0,2,1
2.0,1,bin0,bin1,bin1,3.0,missing,bin0,1.0,3.0,4.0,3.0,2.0,2.0,missing,4.0,5.0,bin0,bin2,2.0,missing,1.0,bin4,bin0,0,1,1
1.0,1,missing,missing,missing,4.0,3.0,missing,2.0,2.0,4.0,1.0,missing,missing,missing,missing,missing,bin3,bin4,3.0,bin1,1.0,bin4,bin0,0,2,1
1.0,1,bin0,bin0,bin0,3.0,1.0,bin1,1.0,4.0,1.0,1.0,1.0,1.0,missing,missing,missing,bin0,bin3,missing,missing,3.0,bin4,bin0,0,2,1
1.0,1,bin3,bin3,missing,1.0,1.0,bin1,1.0,3.0,3.0,3.0,2.0,3.0,bin0,4.0,5.0,bin2,bin4,missing,missing,1.0,bin4,bin0,0,2,1
1.0,1,missing,bin3,bin0,1.0,1.0,bin2,1.0,5.0,3.0,3.0,missing,3.0,bin2,missing,missing,bin4,bin3,1.0,missing,1.0,bin2,bin0,0,1,1
2.0,1,bin2,bin0,missing,3.0,1.0,bin0,1.0,1.0,1.0,2.0,2.0,1.0,missing,3.0,2.0,bin0,bin0,2.0,missing,1.0,bin3,bin0,0,2,2
1.0,9,bin2,bin3,bin4,4.0,4.0,bin4,missing,3.0,3.0,3.0,missing,missing,missing,1.0,missing,bin4,bin0,3.0,bin3,2.0,bin1,bin0,0,1,1
2.0,1,bin3,bin2,bin2,1.0,1.0,bin1,1.0,4.0,2.0,2.0,1.0,1.0,missing,missing,missing,bin1,bin0,1.0,missing,1.0,bin3,bin0,0,2,1
2.0,1,bin1,bin0,bin3,1.0,1.0,bin0,1.0,1.0,3.0,1.0,missing,missing,missing,3.0,3.0,bin0,bin0,missing,missing,1.0,bin3,bin0,0,2,2
1.0,1,bin1,bin2,bin0,1.0,1.0,bin0,1.0,2.0,1.0,1.0,1.0,1.0,missing,1.0,4.0,bin2,bin4,3.0,bin1,3.0,bin2,bin0,0,2,1
2.0,1,bin1,bin0,bin0,3.0,missing,bin1,1.0,1.0,1.0,1.0,missing,missing,missing,missing,1.0,bin0,bin0,missing,missing,1.0,bin2,bin0,0,2,2
2.0,1,bin0,bin3,bin3,3.0,1.0,bin0,1.0,3.0,3.0,2.0,1.0,3.0,bin0,missing,missing,bin2,bin0,missing,missing,2.0,bin1,bin0,0,2,1
