hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class
1,0,0,1,0,0,1,1,1,1,0,0,bin2,0,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,0,1,1
0,0,1,0,0,1,1,1,1,0,0,1,bin0,1,0,0,4
1,0,0,1,0,0,1,1,1,1,0,0,bin2,0,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,1,1,1
0,0,1,0,0,1,0,1,1,0,0,1,bin0,1,1,0,4
0,0,1,0,0,1,1,1,1,0,0,1,bin0,1,0,0,4
1,0,0,1,0,0,0,1,1,1,0,0,bin2,0,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,1,1
0,1,1,0,1,0,0,0,1,1,0,0,bin1,1,1,0,2
0,0,1,0,0,1,1,1,1,0,0,1,bin0,1,0,0,4
0,0,1,0,0,0,1,0,0,0,0,0,bin0,0,0,0,7
0,0,1,0,0,1,1,0,0,0,0,0,bin2,0,0,0,7
0,0,1,0,0,1,1,0,0,0,0,0,bin3,0,0,0,7
0,1,1,0,1,0,1,0,1,1,0,0,bin1,1,0,0,2
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,0,1,1
0,0,1,0,0,1,1,1,1,0,0,1,bin0,1,0,1,4
0,0,0,1,0,1,1,1,1,1,0,1,bin0,1,0,1,1
0,1,1,0,1,0,0,0,1,1,0,0,bin1,1,1,0,2
0,1,1,0,1,1,0,0,1,1,0,0,bin1,1,0,0,2
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,0,1,1
0,1,1,0,1,0,0,0,1,1,0,0,bin1,1,0,1,2
0,0,1,0,0,0,0,0,0,1,0,0,bin3,0,0,0,6
0,0,1,0,0,1,1,1,1,1,0,0,bin2,0,0,0,5
0,0,1,0,0,1,1,1,1,1,1,0,bin2,0,0,0,5
1,0,0,1,1,0,0,1,1,1,0,0,bin1,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,bin1,0,1,1,1
0,0,1,0,1,0,0,0,0,1,0,0,bin3,0,0,0,6
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,bin1,0,0,1,1
0,1,1,0,1,1,1,0,1,1,0,0,bin1,1,0,0,2
0,0,1,0,0,1,0,1,1,0,0,1,bin0,1,0,0,4
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,0,0,1
0,1,1,0,1,0,1,0,1,1,0,0,bin1,1,0,0,2
0,0,1,0,0,1,1,1,1,0,0,1,bin0,1,0,0,4
1,0,1,0,1,0,0,0,0,1,1,0,bin3,0,1,0,6
1,0,1,0,1,0,0,0,0,1,0,0,bin3,0,0,0,6
0,1,1,0,0,0,1,0,1,1,0,0,bin1,1,0,0,2
0,0,1,0,1,0,1,0,0,1,0,0,bin3,0,0,0,6
0,1,1,0,1,0,0,0,1,1,0,0,bin1,1,0,0,2
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,1,1
0,0,1,0,0,1,1,0,0,0,0,0,bin3,0,0,0,7
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,1,1
1,0,0,1,0,1,1,1,1,1,0,0,bin2,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,0,1
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,1,1
1,0,1,0,1,0,0,0,0,1,0,0,bin3,0,0,0,6
0,0,1,0,0,1,1,1,1,1,0,0,bin2,1,0,0,5
0,0,1,0,0,1,1,0,0,0,0,0,bin4,0,0,1,7
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,0,1,1
0,1,1,0,0,0,0,0,1,1,0,0,bin1,1,0,1,2
0,1,1,0,1,0,0,0,1,1,0,0,bin1,1,1,0,2
0,1,1,0,0,1,1,0,1,1,0,0,bin1,1,0,1,2
0,1,1,0,1,0,0,0,1,1,0,0,bin1,1,0,0,2
0,0,1,0,0,1,1,1,1,0,0,1,bin0,1,0,1,4
0,0,1,0,0,1,1,1,1,0,0,1,bin0,1,0,0,4
0,0,1,0,0,0,1,1,1,1,1,0,bin0,1,0,0,3
1,0,1,1,0,1,1,0,1,1,0,0,bin2,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,1,1,1
0,0,0,1,0,1,1,1,1,1,0,1,bin0,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,1,1,1
0,1,1,0,0,0,1,0,1,1,0,0,bin1,1,0,1,2
0,0,0,0,0,0,1,0,0,1,1,0,bin4,1,0,0,7
0,0,1,0,0,1,0,1,1,0,0,1,bin0,1,0,0,4
1,0,0,1,0,1,1,1,1,1,0,1,bin0,0,0,1,1
1,0,0,1,0,1,1,1,1,1,0,1,bin1,1,0,1,1
0,0,0,0,0,1,1,1,1,0,1,0,bin0,1,0,0,3
0,0,1,0,0,1,1,0,0,0,1,0,bin0,0,0,0,7
0,1,1,0,1,1,1,0,1,1,0,0,bin1,1,0,0,2
0,1,1,0,1,1,1,0,1,1,0,0,bin1,1,0,0,2
0,0,1,0,0,0,1,1,1,1,0,0,bin0,1,0,0,3
0,0,1,0,0,0,0,0,0,1,0,0,bin0,0,0,0,7
0,0,1,0,0,1,0,1,1,0,0,1,bin0,1,0,0,4
0,1,1,0,1,0,0,0,1,1,0,0,bin1,1,0,0,2
1,0,0,1,0,0,0,1,1,1,0,0,bin1,1,0,0,1
0,0,1,0,0,1,1,0,0,0,0,0,bin3,0,0,0,7
0,0,1,0,0,1,1,1,1,0,1,1,bin0,1,0,1,4
0,1,1,0,1,1,0,0,1,1,0,0,bin1,1,0,1,2
0,0,1,0,0,0,0,0,0,1,0,0,bin3,0,0,0,6
0,0,1,0,0,1,0,1,1,1,0,0,bin2,0,0,0,5
0,0,1,0,0,0,0,0,1,1,0,0,bin2,1,0,1,3
0,0,1,0,0,0,1,1,1,1,0,0,bin2,1,0,0,3
0,0,1,0,0,1,1,1,1,0,0,1,bin0,1,0,1,4
1,0,0,1,1,0,0,1,1,1,0,0,bin1,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,bin2,1,0,0,1
0,1,1,0,1,0,1,0,1,1,0,0,bin1,1,0,1,2
1,0,0,1,0,0,0,1,1,1,0,0,bin1,1,0,1,1
1,0,1,0,1,0,0,0,0,1,1,0,bin3,0,0,0,6
1,0,0,1,0,0,1,1,1,1,0,0,bin2,1,0,1,1
0,0,1,0,0,0,0,0,0,1,0,0,bin0,0,0,0,7
0,1,1,0,1,0,0,0,1,1,0,0,bin1,1,0,0,2
